id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,timezone
32570,AGBA,small_airport,Barakoma Airport,-7.912779808044434,156.70599365234375,,OC,SB,SB-WE,Barakoma,no,AGBA,VEV,,,,,Pacific/Guadalcanal
31524,AGEV,small_airport,Geva Airport,-7.575829982757568,156.5970001220703,,OC,SB,SB-WE,Liangia,no,AGEV,GEF,,,,,Pacific/Guadalcanal
301650,AGG,small_airport,Angoram Airport,-4.05583333333,144.073888889,75.0,OC,PG,PG-ESW,Angoram,no,,AGG,ANG,,,,Pacific/Port_Moresby
30634,AGGA,small_airport,Gwaunaru'u Airport,-8.70257,160.682007,5.0,OC,SB,SB-ML,Auki,yes,AGGA,AKS,,,https://en.wikipedia.org/wiki/Auki_Airport,,Pacific/Guadalcanal
302047,AGGB,small_airport,Bellona/Anua Airport,-11.3022222222,159.798333333,60.0,OC,SB,SB-RB,Anua,yes,AGGB,BNY,,,https://en.wikipedia.org/wiki/Bellona/Anua_Airport,,Pacific/Guadalcanal
302291,AGGC,small_airport,Choiseul Bay Airport,-6.711944,156.396111,,OC,SB,SB-CH,,yes,AGGC,CHY,,,https://en.wikipedia.org/wiki/Choiseul_Bay_Airport,,Pacific/Guadalcanal
30678,AGGE,small_airport,Ballalae Airport,-6.990745,155.886656,5.0,OC,SB,SB-WE,Ballalae,yes,AGGE,BAS,,,https://en.wikipedia.org/wiki/Balalae_Airport,,Pacific/Guadalcanal
35167,AGGF,small_airport,Fera/Maringe Airport,-8.1075,159.576996,,OC,SB,SB-IS,Fera Island,yes,AGGF,FRE,,,https://en.wikipedia.org/wiki/Fera_Airport,Santa Isabel Islands,Pacific/Guadalcanal
3,AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28.0,OC,SB,SB-GU,Honiara,yes,AGGH,HIR,,,https://en.wikipedia.org/wiki/Honiara_International_Airport,Henderson Field,Pacific/Guadalcanal
31885,AGGI,small_airport,Babanakira Airport,-9.7475004196167,159.83900451660156,,OC,SB,SB-GU,Mbambanakira,yes,AGGI,MBU,,,,Mbambanakira Airport,Pacific/Guadalcanal
301837,AGGJ,small_airport,Avu Avu Airport,-9.86833333333,160.410555556,25.0,OC,SB,SB-GU,,no,AGGJ,AVU,,,,,Pacific/Guadalcanal
31686,AGGK,small_airport,Ngorangora Airport,-10.4497003555,161.897994995,54.0,OC,SB,SB-MK,Kirakira,yes,AGGK,IRA,,,https://en.wikipedia.org/wiki/Kirakira_Airport,,Pacific/Guadalcanal
